date, pm25, pm10, o3, no2, so2, co
2019/12/5, 34, 6, 16, 17, 1, 3
2019/12/6, 18, 8, 16, 18, 1, 3
2019/12/7, 33, 16, 24, 14, , 3
2019/12/8, 51, 13, 18, 19, 1, 3
2019/12/9, 43, 15, 14, 23, 1, 3
2019/12/10, 46, 18, 5, 24, , 4
2019/12/11, 49, 14, 21, 18, 1, 5
2019/12/12, 56, 7, 19, 13, 1, 3
2019/12/13, 21, 16, 22, 25, 2, 3
2019/12/14, 52, 8, 25, 8, 1, 3
2019/12/15, 26, 16, 10, 29, 2, 3
2019/12/16, 47, 22, 7, 22, 1, 4
2019/12/17, 56, 16, 12, 21, , 5
2019/12/18, 51, 12, 17, 18, 1, 3
2019/12/19, 35, 15, 22, 14, , 3
2019/12/20, 45, 10, 15, 14, , 3
2019/12/21, 34, 18, 17, 14, 1, 3
2019/12/22, 48, 7, 19, 26, 3, 5
2019/12/23, 28, 8, 24, 11, 1, 3
2019/12/24, 24, , 19, 25, 1, 4
2019/12/25, 35, 23, , 31, 2, 5
2019/12/26, 59, 10, 20, 14, 1, 3
2019/12/27, 33, 4, 27, 6, 1, 2
2019/12/28, 16, 8, 26, 10, 1, 3
2019/12/29, 30, , , , , 
2019/7/1, 42, 29, 27, 20, 1, 3
2019/7/2, 51, 34, 45, 20, 2, 4
2019/7/3, 70, 7, 37, 8, 1, 1
2019/7/4, 12, 12, 35, 9, 1, 2
2019/7/5, 32, 11, 31, 6, 1, 1
2019/7/6, 29, 6, 23, 3, , 1
2019/7/7, 18, 8, 24, 5, 1, 1
2019/7/8, 32, 10, 22, 6, 1, 1
2019/7/9, 25, 8, 24, 6, 1, 1
2019/7/10, 35, 16, 21, 14, 2, 2
2019/7/11, 38, 10, 20, 14, 1, 2
2019/7/12, 34, 23, 26, 20, 2, 4
2019/7/13, 57, 10, 32, 5, 1, 2
2019/7/14, 19, 7, 18, 3, 1, 1
2019/7/15, 23, 6, 10, 9, , 1
2019/7/16, 20, 14, 31, 18, 1, 3
2019/7/17, 44, 22, 18, 18, 1, 3
2019/7/18, 59, 11, 24, 10, , 2
2019/7/19, 54, 30, 30, 20, 4, 3
2019/7/20, 62, 26, 20, 13, 1, 2
2019/7/21, 56, 22, 10, 12, , 2
2019/7/22, 43, 15, 16, 13, 1, 2
2019/7/23, 44, 15, 24, 14, 2, 2
2019/7/24, 45, 29, 30, 14, 2, 2
2019/7/25, 68, 11, 10, 8, 1, 1
2019/7/26, 47, 20, 10, 6, 1, 1
2019/7/27, 48, 44, 18, 13, 4, 2
2019/7/28, 66, 34, 23, 15, 3, 3
2019/7/29, 76, 28, 23, 15, 2, 2
2019/7/30, 72, 31, 33, 16, 2, 2
2019/7/31, 63, 40, 69, 16, 2, 2
2019/8/1, 74, 38, 58, 16, 3, 2
2019/8/2, 86, 22, 33, 16, 3, 2
2019/8/3, 65, 14, 29, 10, 3, 1
2019/8/4, 66, 11, 17, 11, 2, 1
2019/8/5, 78, 11, 13, 8, 1, 1
2019/8/6, 67, 17, 21, 13, 3, 1
2019/8/7, 38, 19, 27, 13, 2, 1
2019/8/8, 62, 16, 34, 12, 2, 2
2019/8/9, 62, 16, 29, 11, 2, 2
2019/8/10, 63, 15, 27, 7, 2, 1
2019/8/11, 71, 20, 12, 7, 2, 1
2019/8/12, 38, 20, 13, 10, 2, 2
2019/8/13, 42, 29, 10, 8, 2, 2
2019/8/14, 31, 37, 13, 4, 1, 2
2019/8/15, 24, 41, 30, 3, , 2
2019/8/16, 28, 34, 40, 11, 5, 4
2019/8/17, 57, 36, 39, 8, 1, 3
2019/8/18, 49, 43, 25, 6, 1, 2
2019/8/19, 36, 23, 22, 11, , 2
2019/8/20, 34, 12, 28, 13, 2, 3
2019/8/21, 38, 18, 40, 11, 1, 2
2019/8/22, 42, 21, 15, 13, 1, 2
2019/8/23, 35, 24, 45, 15, 2, 3
2019/8/24, 66, 23, 51, 7, 1, 3
2019/8/25, 60, 19, 35, 10, 1, 3
2019/8/26, 46, 21, 38, 13, 2, 3
2019/8/27, 45, 17, 15, 9, 1, 2
2019/8/28, 33, 24, 22, 11, 1, 2
2019/8/29, 57, 17, 6, 11, 1, 2
2019/8/30, 25, 19, 31, 15, 2, 2
2019/8/31, 53, 28, 53, 9, 2, 3
2019/9/1, 57, 30, 22, 16, 2, 3
2019/9/2, 69, 25, 24, 11, 1, 2
2019/9/3, 52, 12, 28, 7, , 2
2019/9/4, 33, 23, 37, 12, , 3
2019/9/5, 58, 23, 25, 17, 3, 3
2019/9/6, 77, 10, 11, 11, 3, 1
2019/9/7, 66, 18, 12, 6, 1, 1
2019/9/8, 49, 17, 17, 8, 1, 2
2019/9/9, 73, 22, 65, 15, 2, 2
